"Step","star-520-FPEC-1-YT-Gdrail-bc0.05-noise1 - avg_ep_found_goal","star-520-FPEC-1-YT-Gdrail-bc0.05-noise1 - avg_ep_found_goal__MIN","star-520-FPEC-1-YT-Gdrail-bc0.05-noise1 - avg_ep_found_goal__MAX"
"4096","0","0","0"
"8192","0","0","0"
"12288","0","0","0"
"16384","0","0","0"
"20480","0","0","0"
"24576","0","0","0"
"28672","0","0","0"
"32768","0","0","0"
"36864","0","0","0"
"40960","0","0","0"
"45056","0","0","0"
"49152","0","0","0"
"53248","0","0","0"
"57344","0","0","0"
"61440","0","0","0"
"65536","0","0","0"
"69632","0","0","0"
"73728","0.01","0.01","0.01"
"77824","0.01","0.01","0.01"
"81920","0","0","0"
"86016","0","0","0"
"90112","0.01","0.01","0.01"
"94208","0","0","0"
"98304","0","0","0"
"102400","0","0","0"
"106496","0.01","0.01","0.01"
"110592","0.01","0.01","0.01"
"114688","0.01","0.01","0.01"
"118784","0.01","0.01","0.01"
"122880","0.03","0.03","0.03"
"126976","0.03","0.03","0.03"
"131072","0.01","0.01","0.01"
"135168","0.01","0.01","0.01"
"139264","0","0","0"
"143360","0.06","0.06","0.06"
"147456","0.08","0.08","0.08"
"151552","0.06","0.06","0.06"
"155648","0.06","0.06","0.06"
"159744","0.05","0.05","0.05"
"163840","0.08","0.08","0.08"
"167936","0.14","0.14","0.14"
"172032","0.16","0.16","0.16"
"176128","0.09","0.09","0.09"
"180224","0.14","0.14","0.14"
"184320","0.13","0.13","0.13"
"188416","0.16","0.16","0.16"
"192512","0.19","0.19","0.19"
"196608","0.18","0.18","0.18"
"200704","0.1","0.1","0.1"
"204800","0.13","0.13","0.13"
"208896","0.18","0.18","0.18"
"212992","0.08","0.08","0.08"
"217088","0.13","0.13","0.13"
"221184","0.13","0.13","0.13"
"225280","0.18","0.18","0.18"
"229376","0.18","0.18","0.18"
"233472","0.2","0.2","0.2"
"237568","0.19","0.19","0.19"
"241664","0.12","0.12","0.12"
"245760","0.2","0.2","0.2"
"249856","0.18","0.18","0.18"
"253952","0.14","0.14","0.14"
"258048","0.18","0.18","0.18"
"262144","0.19","0.19","0.19"
"266240","0.16","0.16","0.16"
"270336","0.21","0.21","0.21"
"274432","0.16","0.16","0.16"
"278528","0.08","0.08","0.08"
"282624","0.11","0.11","0.11"
"286720","0.16","0.16","0.16"
"290816","0.15","0.15","0.15"
"294912","0.15","0.15","0.15"
"299008","0.19","0.19","0.19"
"303104","0.25","0.25","0.25"
"307200","0.23","0.23","0.23"
"311296","0.26","0.26","0.26"
"315392","0.19","0.19","0.19"
"319488","0.22","0.22","0.22"
"323584","0.23","0.23","0.23"
"327680","0.34","0.34","0.34"
"331776","0.3","0.3","0.3"
"335872","0.29","0.29","0.29"
"339968","0.27","0.27","0.27"
"344064","0.26","0.26","0.26"
"348160","0.29","0.29","0.29"
"352256","0.2","0.2","0.2"
"356352","0.28","0.28","0.28"
"360448","0.25","0.25","0.25"
"364544","0.27","0.27","0.27"
"368640","0.25","0.25","0.25"
"372736","0.22","0.22","0.22"
"376832","0.31","0.31","0.31"
"380928","0.35","0.35","0.35"
"385024","0.43","0.43","0.43"
"389120","0.3","0.3","0.3"
"393216","0.36","0.36","0.36"
"397312","0.48","0.48","0.48"
"401408","0.38","0.38","0.38"
"405504","0.35","0.35","0.35"
"409600","0.34","0.34","0.34"
"413696","0.36","0.36","0.36"
"417792","0.37","0.37","0.37"
"421888","0.36","0.36","0.36"
"425984","0.4","0.4","0.4"
"430080","0.43","0.43","0.43"
"434176","0.46","0.46","0.46"
"438272","0.42","0.42","0.42"
"442368","0.51","0.51","0.51"
"446464","0.46","0.46","0.46"
"450560","0.44","0.44","0.44"
"454656","0.48","0.48","0.48"
"458752","0.43","0.43","0.43"
"462848","0.41","0.41","0.41"
"466944","0.46","0.46","0.46"
"471040","0.49","0.49","0.49"
"475136","0.58","0.58","0.58"
"479232","0.48","0.48","0.48"
"483328","0.56","0.56","0.56"
"487424","0.57","0.57","0.57"
"491520","0.56","0.56","0.56"
"495616","0.52","0.52","0.52"
"499712","0.42","0.42","0.42"
"503808","0.44","0.44","0.44"
"507904","0.56","0.56","0.56"
"512000","0.51","0.51","0.51"
"516096","0.53","0.53","0.53"
"520192","0.52","0.52","0.52"
"524288","0.53","0.53","0.53"
"528384","0.55","0.55","0.55"
"532480","0.72","0.72","0.72"
"536576","0.61","0.61","0.61"
"540672","0.59","0.59","0.59"
"544768","0.63","0.63","0.63"
"548864","0.64","0.64","0.64"
"552960","0.7","0.7","0.7"
"557056","0.67","0.67","0.67"
"561152","0.65","0.65","0.65"
"565248","0.63","0.63","0.63"
"569344","0.66","0.66","0.66"
"573440","0.68","0.68","0.68"
"577536","0.78","0.78","0.78"
"581632","0.65","0.65","0.65"
"585728","0.69","0.69","0.69"
"589824","0.74","0.74","0.74"
"593920","0.82","0.82","0.82"
"598016","0.74","0.74","0.74"
"602112","0.7","0.7","0.7"
"606208","0.7","0.7","0.7"
"610304","0.76","0.76","0.76"
"614400","0.76","0.76","0.76"
"618496","0.79","0.79","0.79"
"622592","0.75","0.75","0.75"
"626688","0.85","0.85","0.85"
"630784","0.88","0.88","0.88"
"634880","0.81","0.81","0.81"
"638976","0.83","0.83","0.83"
"643072","0.8","0.8","0.8"
"647168","0.76","0.76","0.76"
"651264","0.75","0.75","0.75"
"655360","0.74","0.74","0.74"
"659456","0.78","0.78","0.78"
"663552","0.78","0.78","0.78"
"667648","0.85","0.85","0.85"
"671744","0.85","0.85","0.85"
"675840","0.81","0.81","0.81"
"679936","0.77","0.77","0.77"
"684032","0.85","0.85","0.85"
"688128","0.74","0.74","0.74"
"692224","0.81","0.81","0.81"
"696320","0.82","0.82","0.82"
"700416","0.9","0.9","0.9"
"704512","0.88","0.88","0.88"
"708608","0.85","0.85","0.85"
"712704","0.8","0.8","0.8"
"716800","0.87","0.87","0.87"
"720896","0.86","0.86","0.86"
"724992","0.85","0.85","0.85"
"729088","0.9","0.9","0.9"
"733184","0.88","0.88","0.88"
"737280","0.88","0.88","0.88"
"741376","0.86","0.86","0.86"
"745472","0.9","0.9","0.9"
"749568","0.94","0.94","0.94"
"753664","0.93","0.93","0.93"
"757760","0.84","0.84","0.84"
"761856","0.9","0.9","0.9"
"765952","0.87","0.87","0.87"
"770048","0.94","0.94","0.94"
"774144","0.98","0.98","0.98"
"778240","0.93","0.93","0.93"
"782336","0.89","0.89","0.89"
"786432","0.93","0.93","0.93"
"790528","0.93","0.93","0.93"
"794624","0.93","0.93","0.93"
"798720","0.96","0.96","0.96"
"802816","0.85","0.85","0.85"
"806912","0.9","0.9","0.9"
"811008","0.94","0.94","0.94"
"815104","0.94","0.94","0.94"
"819200","0.92","0.92","0.92"
"823296","0.93","0.93","0.93"
"827392","0.92","0.92","0.92"
"831488","0.92","0.92","0.92"
"835584","0.94","0.94","0.94"
"839680","0.95","0.95","0.95"
"843776","0.91","0.91","0.91"
"847872","0.93","0.93","0.93"
"851968","0.92","0.92","0.92"
"856064","0.96","0.96","0.96"
"860160","0.95","0.95","0.95"
"864256","0.93","0.93","0.93"
"868352","0.94","0.94","0.94"
"872448","0.94","0.94","0.94"
"876544","0.94","0.94","0.94"
"880640","0.95","0.95","0.95"
"884736","0.96","0.96","0.96"
"888832","0.95","0.95","0.95"
"892928","0.98","0.98","0.98"
"897024","0.93","0.93","0.93"
"901120","0.98","0.98","0.98"
"905216","0.96","0.96","0.96"
"909312","0.98","0.98","0.98"
"913408","0.96","0.96","0.96"
"917504","0.95","0.95","0.95"
"921600","0.95","0.95","0.95"
"925696","0.98","0.98","0.98"
"929792","0.98","0.98","0.98"
"933888","0.99","0.99","0.99"
"937984","0.97","0.97","0.97"
"942080","0.97","0.97","0.97"
"946176","0.92","0.92","0.92"
