"Step","star-520-FPEC-1-NI-drail-noise1 - avg_ep_found_goal","star-520-FPEC-1-NI-drail-noise1 - avg_ep_found_goal__MIN","star-520-FPEC-1-NI-drail-noise1 - avg_ep_found_goal__MAX"
"4096","0","0","0"
"8192","0","0","0"
"12288","0","0","0"
"16384","0","0","0"
"20480","0","0","0"
"24576","0","0","0"
"28672","0","0","0"
"32768","0","0","0"
"36864","0","0","0"
"40960","0","0","0"
"45056","0","0","0"
"49152","0","0","0"
"53248","0","0","0"
"57344","0","0","0"
"61440","0","0","0"
"65536","0","0","0"
"69632","0","0","0"
"73728","0","0","0"
"77824","0","0","0"
"81920","0","0","0"
"86016","0","0","0"
"90112","0","0","0"
"94208","0","0","0"
"98304","0","0","0"
"102400","0.01","0.01","0.01"
"106496","0","0","0"
"110592","0.01","0.01","0.01"
"114688","0.01","0.01","0.01"
"118784","0.02","0.02","0.02"
"122880","0.02","0.02","0.02"
"126976","0.01","0.01","0.01"
"131072","0.01","0.01","0.01"
"135168","0.02","0.02","0.02"
"139264","0.07","0.07","0.07"
"143360","0.06","0.06","0.06"
"147456","0.06","0.06","0.06"
"151552","0.05","0.05","0.05"
"155648","0.04","0.04","0.04"
"159744","0.06","0.06","0.06"
"163840","0.05","0.05","0.05"
"167936","0.04","0.04","0.04"
"172032","0.02","0.02","0.02"
"176128","0.08","0.08","0.08"
"180224","0.07","0.07","0.07"
"184320","0.06","0.06","0.06"
"188416","0.04","0.04","0.04"
"192512","0.08","0.08","0.08"
"196608","0.1","0.1","0.1"
"200704","0.1","0.1","0.1"
"204800","0.07","0.07","0.07"
"208896","0.07","0.07","0.07"
"212992","0.07","0.07","0.07"
"217088","0.11","0.11","0.11"
"221184","0.13","0.13","0.13"
"225280","0.08","0.08","0.08"
"229376","0.1","0.1","0.1"
"233472","0.09","0.09","0.09"
"237568","0.09","0.09","0.09"
"241664","0.06","0.06","0.06"
"245760","0.09","0.09","0.09"
"249856","0.12","0.12","0.12"
"253952","0.08","0.08","0.08"
"258048","0.14","0.14","0.14"
"262144","0.16","0.16","0.16"
"266240","0.14","0.14","0.14"
"270336","0.14","0.14","0.14"
"274432","0.14","0.14","0.14"
"278528","0.13","0.13","0.13"
"282624","0.17","0.17","0.17"
"286720","0.11","0.11","0.11"
"290816","0.15","0.15","0.15"
"294912","0.1","0.1","0.1"
"299008","0.06","0.06","0.06"
"303104","0.08","0.08","0.08"
"307200","0.11","0.11","0.11"
"311296","0.13","0.13","0.13"
"315392","0.12","0.12","0.12"
"319488","0.14","0.14","0.14"
"323584","0.09","0.09","0.09"
"327680","0.11","0.11","0.11"
"331776","0.12","0.12","0.12"
"335872","0.16","0.16","0.16"
"339968","0.19","0.19","0.19"
"344064","0.11","0.11","0.11"
"348160","0.13","0.13","0.13"
"352256","0.16","0.16","0.16"
"356352","0.13","0.13","0.13"
"360448","0.11","0.11","0.11"
"364544","0.11","0.11","0.11"
"368640","0.17","0.17","0.17"
"372736","0.17","0.17","0.17"
"376832","0.09","0.09","0.09"
"380928","0.13","0.13","0.13"
"385024","0.16","0.16","0.16"
"389120","0.18","0.18","0.18"
"393216","0.13","0.13","0.13"
"397312","0.24","0.24","0.24"
"401408","0.24","0.24","0.24"
"405504","0.24","0.24","0.24"
"409600","0.24","0.24","0.24"
"413696","0.2","0.2","0.2"
"417792","0.24","0.24","0.24"
"421888","0.24","0.24","0.24"
"425984","0.25","0.25","0.25"
"430080","0.28","0.28","0.28"
"434176","0.28","0.28","0.28"
"438272","0.33","0.33","0.33"
"442368","0.2","0.2","0.2"
"446464","0.33","0.33","0.33"
"450560","0.24","0.24","0.24"
"454656","0.29","0.29","0.29"
"458752","0.33","0.33","0.33"
"462848","0.32","0.32","0.32"
"466944","0.3","0.3","0.3"
"471040","0.37","0.37","0.37"
"475136","0.3","0.3","0.3"
"479232","0.36","0.36","0.36"
"483328","0.32","0.32","0.32"
"487424","0.3","0.3","0.3"
"491520","0.39","0.39","0.39"
"495616","0.36","0.36","0.36"
"499712","0.32","0.32","0.32"
"503808","0.28","0.28","0.28"
"507904","0.37","0.37","0.37"
"512000","0.46","0.46","0.46"
"516096","0.51","0.51","0.51"
"520192","0.47","0.47","0.47"
"524288","0.52","0.52","0.52"
"528384","0.43","0.43","0.43"
"532480","0.39","0.39","0.39"
"536576","0.39","0.39","0.39"
"540672","0.39","0.39","0.39"
"544768","0.37","0.37","0.37"
"548864","0.41","0.41","0.41"
"552960","0.44","0.44","0.44"
"557056","0.42","0.42","0.42"
"561152","0.42","0.42","0.42"
"565248","0.49","0.49","0.49"
"569344","0.6","0.6","0.6"
"573440","0.47","0.47","0.47"
"577536","0.44","0.44","0.44"
"581632","0.46","0.46","0.46"
"585728","0.6","0.6","0.6"
"589824","0.56","0.56","0.56"
"593920","0.49","0.49","0.49"
"598016","0.54","0.54","0.54"
"602112","0.43","0.43","0.43"
"606208","0.65","0.65","0.65"
"610304","0.61","0.61","0.61"
"614400","0.47","0.47","0.47"
"618496","0.59","0.59","0.59"
"622592","0.57","0.57","0.57"
"626688","0.63","0.63","0.63"
"630784","0.59","0.59","0.59"
"634880","0.59","0.59","0.59"
"638976","0.63","0.63","0.63"
"643072","0.67","0.67","0.67"
"647168","0.64","0.64","0.64"
"651264","0.61","0.61","0.61"
"655360","0.6","0.6","0.6"
"659456","0.61","0.61","0.61"
"663552","0.65","0.65","0.65"
"667648","0.73","0.73","0.73"
"671744","0.75","0.75","0.75"
"675840","0.59","0.59","0.59"
"679936","0.61","0.61","0.61"
"684032","0.67","0.67","0.67"
"688128","0.66","0.66","0.66"
"692224","0.46","0.46","0.46"
"696320","0.53","0.53","0.53"
"700416","0.68","0.68","0.68"
"704512","0.7","0.7","0.7"
"708608","0.76","0.76","0.76"
"712704","0.74","0.74","0.74"
"716800","0.79","0.79","0.79"
"720896","0.72","0.72","0.72"
"724992","0.79","0.79","0.79"
"729088","0.72","0.72","0.72"
"733184","0.78","0.78","0.78"
"737280","0.75","0.75","0.75"
"741376","0.79","0.79","0.79"
"745472","0.76","0.76","0.76"
"749568","0.77","0.77","0.77"
"753664","0.86","0.86","0.86"
"757760","0.74","0.74","0.74"
"761856","0.81","0.81","0.81"
"765952","0.82","0.82","0.82"
"770048","0.81","0.81","0.81"
"774144","0.84","0.84","0.84"
"778240","0.7","0.7","0.7"
"782336","0.81","0.81","0.81"
"786432","0.79","0.79","0.79"
"790528","0.81","0.81","0.81"
"794624","0.88","0.88","0.88"
"798720","0.79","0.79","0.79"
"802816","0.84","0.84","0.84"
"806912","0.84","0.84","0.84"
"811008","0.88","0.88","0.88"
"815104","0.78","0.78","0.78"
"819200","0.82","0.82","0.82"
"823296","0.78","0.78","0.78"
"827392","0.86","0.86","0.86"
"831488","0.78","0.78","0.78"
"835584","0.9","0.9","0.9"
"839680","0.83","0.83","0.83"
"843776","0.88","0.88","0.88"
"847872","0.94","0.94","0.94"
"851968","0.83","0.83","0.83"
"856064","0.92","0.92","0.92"
"860160","0.91","0.91","0.91"
"864256","0.87","0.87","0.87"
"868352","0.83","0.83","0.83"
"872448","0.81","0.81","0.81"
"876544","0.78","0.78","0.78"
"880640","0.81","0.81","0.81"
"884736","0.86","0.86","0.86"
"888832","0.83","0.83","0.83"
"892928","0.88","0.88","0.88"
"897024","0.79","0.79","0.79"
"901120","0.93","0.93","0.93"
"905216","0.88","0.88","0.88"
"909312","0.88","0.88","0.88"
"913408","0.82","0.82","0.82"
"917504","0.92","0.92","0.92"
"921600","0.89","0.89","0.89"
"925696","0.86","0.86","0.86"
"929792","0.88","0.88","0.88"
"933888","0.86","0.86","0.86"
"937984","0.83","0.83","0.83"
"942080","0.81","0.81","0.81"
"946176","0.86","0.86","0.86"
"950272","0.86","0.86","0.86"
"954368","0.84","0.84","0.84"
